[ktest] adapter: {"webgpu":true,"adapter":"nvidia lovelace"}
kernel	esito	max|Δ|	maxRel	note
q35-mtp-specdec-invariance	PASS	NaN	NaN	16/16 token IDENTICI al sequenziale su ENTRAMBI i path · per-riga 11 passate 6 accettate (55%) · batch 10 passate 7 accettate (70%), 8 rollback · ms/token: sequenziale 34.5 · spec per-riga 48.6 · spec batch 41.8
q35-mtp-costo-verifica	PASS	NaN	NaN	token intero 34.4 = corpo 27.6 + coda 6.8 (norma+lm_head+argmax+readback) · passata di verifica 66.8 = corpo2 48.3 + 2 code 13.6 + draft 4.9 · corpo2/corpo = 1.75x
q35-model-4b-argmax	PASS	0.00e+0	0.00e+0	argmax GPU == oracolo 6/6 (load 8.8s, 39 pos in 1.6s, 570 dispatch/token) — MICRO-BENCH a caldo A CONTESTO 39 POSIZIONI (non confrontabile con un bench su prompt vero senza correggere per il contesto: ~10,4 us/posizione, it.59), 3 ripetizioni interleavate (mediana, [min-max]): sync 34.3 [34.3-34.5] · batch 31.1 [30.8-31.3] · senza-sync 26.5 [26.5-26.6] ⇒ delta batch -3.2 ms/token (-9.5%); argmax IDENTICO su 39 token
q35-arena-vs-slotrange-blk0-q4kdown	PASS	0.00e+0	0.00e+0	BIT-A-BIT identico su 2048 f32 (arena bindata intera, slot da Sel) vs binding a sotto-range
q35-moe-block-real-blk0-q4kdown	PASS	5.59e-9	6.38e-6	pesi reali 35B, top-8 di 256, arena offset-binding, L2rel=2.11e-7
q35-arena-vs-slotrange-blk34-q6kdown	PASS	0.00e+0	0.00e+0	BIT-A-BIT identico su 2048 f32 (arena bindata intera, slot da Sel) vs binding a sotto-range
q35-moe-block-real-blk34-q6kdown	PASS	1.86e-9	8.88e-6	pesi reali 35B, top-8 di 256, arena offset-binding, L2rel=2.79e-7
rope-mla-norm-q	PASS	1.44e-5	1.41e-3	
rope-mla-norm-kpe	PASS	1.33e-5	1.88e-4	
gemv-q8-heads-absorb-kb	PASS	3.05e-5	6.37e-4	
gemv-q8-heads-vout-vb	PASS	6.10e-5	3.77e-3	
mla-attn-decode	PASS	3.73e-8	1.00e-3	
mla-attn-split-p7	PASS	5.96e-8	1.57e-3	
mla-attn-split-p15	PASS	5.96e-8	5.92e-4	
mla-attn-split-p16	PASS	5.96e-8	6.01e-4	
mla-attn-split-p40	PASS	2.24e-8	1.61e-3	
mla-attn-split-p200	PASS	3.35e-8	7.88e-4	
mla-attn-split-vs-mono	PASS	1.08e-7	1.32e-3	
mla-split-batch-vs-per-row	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe a passato crescente (14..16, bordo di partizione attraversato)
strided-copy-qrope	PASS	0.00e+0	0.00e+0	
rmsnorm	PASS	1.19e-7	1.19e-7	
rope-neox	PASS	3.55e-6	9.02e-4	
kv-append+attn-decode	PASS	2.61e-8	6.48e-5	
silu-mul	PASS	8.94e-8	2.36e-7	
add-inplace	PASS	0.00e+0	0.00e+0	
argmax-2stage	PASS	0.00e+0	0.00e+0	got=137713 ref=137713
residency-opfs-roundtrip	PASS	0.00e+0	0.00e+0	import 37.6 MB sha-ok in 205 ms; h1/m8/ev2; read 10.8 pack 37.9 up 2.6 ms
glm-model-2layer	PASS	3.58e+7	1.31e-4	6 pos, L2rel=2.07e-7, wMaxRel=1.84e-7, argmax 6/6, logitMaxRel=1.91e-4, h14/m10/ev3, arena nBuf=3, 55 dispatch/token misurati (piano 53 + testa 2), 2 submit / 1 sync per token
glm-model-2layer-shadow	PASS	3.58e+7	1.31e-4	6 pos, L2rel=2.07e-7, wMaxRel=1.84e-7, argmax 6/6, logitMaxRel=1.91e-4, h14/m10/ev3, arena nBuf=3, 56 dispatch/token misurati (piano 54 + testa 2), 2 submit / 1 sync per token; router GPU: set 6/6, ordine 6/6, wMaxRel=1.27e-7, slot risolti 14, miss 10, Sel di produzione riletta 24/24
glm-model-shadow-invariance	PASS	0.00e+0	0.00e+0	L2rel 2.07e-7 in entrambi, 55 → 56 dispatch/token, submit 2 e sync 1 per token invariati
glm-model-2layer-gpu	PASS	3.58e+7	1.31e-4	6 pos, L2rel=2.07e-7, wMaxRel=3.11e-7, argmax 6/6, logitMaxRel=4.47e-4, h0/m64/ev0, arena nBuf=3, 56 dispatch/token misurati (piano 54 + testa 2), 1 submit / 0 sync per token; selMiss=0, Sel di produzione riletta 24/24, preload 64/64 expert, submit osservati 6/6 (telemetria 6); vs run cpu: hidden maxRel=2.50e-7 (bit-identici 8309/12288), id expert identici per-k, pesi maxRel=1.27e-7; logits maxRel=2.56e-4 (bit-identici 7212/12288), argmax 6/6
glm-model-gpu-residenza-parziale	PASS	0.00e+0	0.00e+0	errore atteso: "glmmodel: select "gpu" esige la RESIDENZA TOTALE — classe q4_1: 7 slot per 64 expert del modello. In modo gpu la CPU non vede piu' la selezione, quindi non puo'…"
glm-optimistic-forced-miss	PASS	0.00e+0	5.98e-8	pulito: L2rel=5.98e-8, 1 submit/0 sync, dispatch ok; forzati {3,2} (+controllo 4): missCount=2, first=1, degrado vs ref-azzerato L2rel=5.15e-8, logitMaxRel=7.34e-4
glm-hidden-checkpoint	PASS	0.00e+0	3.17e-7	3 pos: gpu==optimistic 4096/4096 bit, riga0==xIn 2048/2048 bit, riga1 vs f64 L2rel=3.17e-7, dispatch/token invariati
glm-optimistic-identita	PASS	0.00e+0	0.00e+0	64 pos (3 con replay): hidden bit 131072/131072, logits bit 131072/131072, argmax 64/64, submits 67 = 64+3 replay, sync/token 0, repairMs=66.5
glm-optimistic-precondizione	PASS	0.00e+0	0.00e+0	errore atteso: "glmmodel: select "optimistic" esige la residenza NEAR-TOTAL — 7 slot per 64 expert = 10.9% < 0.8. Sotto questa soglia il decode ottimistico collassa (WP-0: a bu…"
glm-layer0-conformance	PASS	8.82e-8	1.67e-3	pesi reali blk.0, 16 pos decode, L2rel=2.35e-7, 22 dispatch
[ktest] STATUS: done
